id_dettaglio,id_ordine,id_prodotto,quantità,prezzo_unitario
1,169,231,4,309.67
2,322,209,1,797.25
3,549,184,2,488.21
4,463,158,4,458.14
5,272,62,1,709.3
6,162,156,5,151.62
7,42,111,3,48.87
8,152,47,2,157.08
9,365,203,5,112.56
10,51,154,3,97.92
11,179,16,4,579.47
12,464,285,5,457.55
13,256,49,4,600.95
14,105,72,1,801.59
15,13,32,2,746.26
16,134,102,4,161.96
17,382,44,5,972.03
18,601,133,1,681.12
19,23,34,2,365.19
20,662,228,2,692.16
21,95,170,1,840.66
22,44,237,1,744.17
23,173,294,4,711.23
24,742,203,4,112.56
25,31,196,4,755.46
26,177,182,2,754.71
27,192,141,3,6.68
28,457,77,1,55.34
29,629,126,3,270.47
30,511,211,5,73.61
31,491,32,1,746.26
32,287,197,2,840.03
33,430,103,5,613.62
34,256,279,1,916.49
35,392,184,4,488.21
36,558,249,3,823.01
37,580,258,3,947.85
38,398,139,2,388.27
39,27,164,5,54.97
40,225,16,3,579.47
41,60,242,5,19.08
42,367,300,2,835.55
43,164,52,2,90.23
44,673,124,3,29.66
45,547,29,2,216.56
46,590,199,3,566.15
47,178,91,2,124.29
48,607,163,3,805.09
49,606,15,3,554.28
50,582,289,2,624.52
51,577,97,4,319.6
52,556,159,2,719.75
53,503,20,1,166.84
54,58,120,5,356.91
55,225,11,5,106.7
56,490,1,3,29.89
57,629,104,2,669.52
58,349,91,3,124.29
59,61,12,2,362.18
60,601,73,1,195.63
61,539,187,1,907.39
62,383,203,5,112.56
63,104,173,3,275.36
64,331,70,2,864.52
65,750,224,4,880.92
66,665,163,2,805.09
67,725,288,5,416.18
68,366,115,5,945.33
69,180,194,3,750.28
70,752,151,2,467.66
71,182,1,5,29.89
72,401,291,1,551.47
73,187,163,5,805.09
74,227,290,1,761.19
75,509,73,3,195.63
76,764,40,2,683.3
77,356,164,2,54.97
78,652,46,3,842.46
79,458,6,3,563.44
80,215,128,1,226.32
81,359,132,1,354.39
82,738,1,1,29.89
83,396,225,4,558.01
84,171,212,4,17.59
85,388,180,5,857.45
86,385,52,4,90.23
87,592,116,2,547.86
88,463,38,1,597.91
89,302,11,3,106.7
90,268,54,1,132.75
91,351,88,4,61.6
92,165,39,5,971.22
93,96,174,5,142.68
94,629,248,1,941.36
95,442,85,5,968.87
96,445,81,1,168.81
97,104,170,2,840.66
98,195,210,5,350.47
99,740,277,3,578.37
100,677,145,3,668.56
101,244,50,1,116.31
102,403,293,5,33.73
103,503,79,1,170.48
104,370,2,4,227.09
105,90,151,5,467.66
106,492,103,1,613.62
107,27,106,2,268.14
108,654,150,1,290.48
109,485,60,3,341.4
110,408,242,4,19.08
111,677,136,1,112.86
112,658,279,4,916.49
113,190,190,4,263.86
114,379,96,4,673.33
115,46,135,4,182.67
116,477,135,2,182.67
117,276,289,1,624.52
118,155,50,1,116.31
119,685,177,5,544.9
120,424,117,5,432.64
121,63,199,5,566.15
122,429,275,4,232.78
123,587,121,4,973.97
124,307,41,4,769.76
125,732,18,5,985.3
126,585,265,5,688.95
127,694,76,1,808.98
128,776,230,2,297.76
129,172,109,2,507.88
130,130,22,4,611.09
131,81,223,2,798.84
132,643,76,5,808.98
133,265,164,1,54.97
134,90,199,5,566.15
135,407,283,3,333.15
136,283,267,4,649.4
137,13,268,4,76.05
138,116,213,2,110.01
139,152,291,5,551.47
140,597,52,1,90.23
141,577,52,3,90.23
142,549,177,4,544.9
143,271,197,4,840.03
144,586,243,1,277.94
145,177,142,4,367.4
146,148,206,1,594.14
147,406,170,2,840.66
148,51,244,3,698.93
149,382,11,3,106.7
150,311,160,3,402.65
151,504,51,2,243.26
152,138,154,4,97.92
153,793,165,3,459.18
154,747,214,5,708.77
155,662,46,2,842.46
156,453,109,4,507.88
157,759,249,5,823.01
158,383,29,5,216.56
159,163,34,3,365.19
160,727,260,4,243.67
161,139,269,5,597.07
