id_ordine,id_cliente,data_ordine,stato,totale
1,125,2025-05-17,annullato,1107.02
2,197,2025-04-16,spedito,1844.52
3,261,2024-01-17,spedito,1729.41
4,142,2024-07-20,annullato,686.35
5,404,2025-04-20,consegnato,1642.89
6,145,2025-04-23,consegnato,1676.58
7,297,2025-07-25,annullato,1731.87
8,229,2024-11-21,annullato,696.8
9,283,2024-09-06,annullato,916.14
10,165,2024-03-22,spedito,1961.74
11,123,2023-12-27,annullato,474.79
12,398,2024-06-04,annullato,96.86
13,382,2025-06-03,annullato,1413.4
14,416,2024-04-20,annullato,778.3
15,340,2023-12-10,spedito,995.7
16,19,2024-09-30,spedito,1009.56
17,303,2025-08-16,consegnato,1740.7
18,448,2023-11-08,annullato,208.43
19,467,2025-07-07,annullato,40.54
20,74,2024-08-06,annullato,1743.16
21,497,2024-05-21,spedito,158.91
22,401,2025-02-09,consegnato,683.74
23,355,2024-08-05,annullato,1303.17
24,437,2024-02-06,consegnato,1706.16
25,440,2024-07-09,annullato,1908.74
26,321,2025-05-12,annullato,1746.04
27,19,2024-07-24,in elaborazione,477.19
28,351,2025-05-18,consegnato,1994.88
29,383,2024-05-20,in elaborazione,873.6
30,51,2025-08-10,in elaborazione,892.92
31,356,2025-08-16,consegnato,1807.81
32,24,2023-11-09,consegnato,1594.33
33,151,2024-02-29,consegnato,755.93
34,75,2024-08-16,spedito,1067.02
35,290,2025-06-11,spedito,348.27
36,41,2024-04-02,annullato,1243.22
37,124,2025-04-20,annullato,1826.53
38,74,2025-03-15,spedito,927.69
39,131,2024-07-20,annullato,518.1
40,5,2024-06-28,annullato,1803.41
41,347,2024-12-03,spedito,156.99
42,484,2025-03-21,consegnato,1975.43
43,154,2024-03-01,annullato,1383.72
44,234,2024-05-23,consegnato,406.44
45,197,2024-03-04,annullato,222.24
46,196,2025-08-10,consegnato,1153.88
47,359,2025-09-14,consegnato,53.66
48,425,2025-04-26,annullato,556.22
49,290,2023-10-26,in elaborazione,1822.13
50,382,2025-03-10,annullato,1667.35
51,463,2023-12-12,consegnato,1553.72
52,118,2024-10-06,consegnato,445.82
53,98,2024-07-27,consegnato,1358.75
54,370,2024-06-03,spedito,1260.21
55,463,2024-08-22,in elaborazione,624.78
56,226,2025-06-14,in elaborazione,1163.35
57,375,2024-05-12,spedito,189.37
58,152,2025-08-08,consegnato,1497.49
59,90,2024-05-20,spedito,273.0
60,277,2024-11-09,consegnato,1066.4
61,468,2024-12-28,consegnato,1662.64
62,132,2025-07-01,annullato,1935.09
63,152,2024-11-22,consegnato,1610.42
64,240,2024-11-03,in elaborazione,290.11
65,495,2025-09-18,spedito,1721.68
66,371,2025-09-20,annullato,1934.87
67,412,2023-10-25,consegnato,189.7
68,203,2025-05-29,in elaborazione,536.27
69,64,2024-03-31,annullato,743.49
70,384,2025-04-27,consegnato,1173.27
71,422,2023-12-31,consegnato,225.61
72,120,2024-07-20,annullato,59.8
73,453,2024-04-12,consegnato,1831.36
74,114,2024-12-12,in elaborazione,1274.45
75,238,2025-04-01,consegnato,1301.99
76,60,2024-10-31,spedito,100.24
77,20,2024-11-13,consegnato,1991.9
78,60,2024-02-23,in elaborazione,477.25
79,276,2025-07-14,spedito,783.41
80,190,2024-05-08,annullato,1178.81
81,373,2024-06-21,spedito,1771.97
82,336,2025-04-23,in elaborazione,1669.05
83,316,2024-01-20,annullato,1878.72
84,144,2024-10-03,in elaborazione,1383.66
85,112,2025-01-23,annullato,894.94
86,121,2025-07-15,consegnato,207.72
87,352,2025-04-01,consegnato,1093.49
88,331,2023-11-24,consegnato,130.49
89,142,2025-03-14,spedito,1936.73
90,486,2025-03-25,annullato,192.43
91,109,2024-06-28,in elaborazione,110.65
92,171,2023-11-06,spedito,1977.75
93,403,2024-05-20,spedito,146.53
94,392,2025-03-24,spedito,1176.9
95,417,2025-02-15,spedito,663.83
96,76,2023-11-21,in elaborazione,561.78
97,75,2025-07-31,spedito,1085.03
98,409,2024-05-21,spedito,228.75
99,444,2024-04-10,in elaborazione,272.29
100,184,2024-03-14,spedito,1181.82
101,9,2025-09-18,spedito,538.08
102,65,2024-03-23,annullato,1056.91
103,382,2024-03-18,in elaborazione,957.73
104,399,2025-05-24,consegnato,1031.34
105,56,2025-07-08,annullato,1012.64
106,485,2024-07-09,in elaborazione,1457.21
107,466,2024-03-06,consegnato,921.5
108,494,2025-07-12,in elaborazione,131.04
109,246,2024-11-19,annullato,858.28
110,56,2024-04-25,annullato,1427.68
111,228,2025-01-06,in elaborazione,1799.54
112,165,2024-06-08,spedito,140.71
113,141,2025-08-24,consegnato,768.0
114,306,2025-04-10,consegnato,912.89
115,310,2024-01-10,annullato,207.37
116,360,2024-08-09,in elaborazione,1707.06
117,334,2025-04-25,spedito,865.84
118,455,2024-03-28,spedito,833.49
119,424,2025-06-25,annullato,803.47
120,374,2024-01-25,in elaborazione,631.97
121,161,2025-06-24,consegnato,754.86
122,79,2023-12-26,annullato,143.6
123,426,2023-12-16,in elaborazione,195.53
124,50,2023-12-20,consegnato,1625.42
125,285,2025-04-12,in elaborazione,1177.07
126,288,2025-01-15,consegnato,1343.33
127,211,2024-09-25,consegnato,1748.48
128,482,2024-11-19,annullato,1737.5
129,370,2024-10-04,in elaborazione,1937.11
130,308,2025-04-20,consegnato,709.78
131,296,2025-08-20,spedito,317.91
132,247,2025-06-10,spedito,1696.08
133,180,2024-01-12,consegnato,238.62
134,143,2024-12-03,spedito,1616.37
135,433,2023-11-14,in elaborazione,1221.9
136,337,2025-01-21,consegnato,67.62
137,140,2024-03-10,consegnato,1843.86
138,180,2024-04-12,in elaborazione,371.0
139,74,2025-01-10,annullato,148.47
140,380,2023-12-18,in elaborazione,192.6
141,272,2025-02-09,spedito,758.63
142,233,2025-03-18,consegnato,323.24
143,160,2024-03-09,consegnato,1555.9
144,291,2024-10-24,in elaborazione,1767.85
145,80,2024-03-24,spedito,1511.33
146,26,2024-01-20,in elaborazione,551.48
