id_prodotto,nome_prodotto,categoria,prezzo,disponibilità
1,Necessitatibus Rerum,Casa,29.89,70
2,Eaque Explicabo,Abbigliamento,227.09,188
3,Voluptas Debitis,Casa,678.32,139
4,Repellat Ea,Casa,592.54,8
5,Temporibus Repellendus,Elettronica,98.23,59
6,Cumque Velit,Elettronica,563.44,183
7,Expedita Delectus,Salute,224.34,150
8,Animi Eveniet,Giochi,810.38,1
9,Expedita Aperiam,Sport,699.65,87
10,Aut Vitae,Giochi,159.7,195
11,Nam Deleniti,Libri,106.7,97
12,Esse Harum,Casa,362.18,88
13,Culpa Repellat,Giochi,808.09,186
14,A Totam,Cucina,538.55,96
15,Eos Culpa,Casa,554.28,160
16,Voluptatem Accusantium,Libri,579.47,180
17,Neque Corrupti,Casa,50.6,58
18,Laboriosam Enim,Giochi,985.3,59
19,Occaecati Dicta,Casa,383.23,116
20,Dignissimos Tenetur,Libri,166.84,90
21,Cupiditate Maxime,Abbigliamento,671.82,179
22,Itaque Neque,Casa,611.09,43
23,Minus Unde,Abbigliamento,167.59,97
24,Quas Vero,Giochi,989.58,163
25,Harum Numquam,Abbigliamento,686.19,196
26,Ut Eligendi,Elettronica,232.9,8
27,Tempora Dignissimos,Libri,404.16,16
28,Enim Molestias,Abbigliamento,913.57,145
29,Libero Eaque,Libri,216.56,127
30,Vel Ut,Salute,885.26,164
31,Exercitationem Porro,Cucina,147.16,35
32,Porro Harum,Abbigliamento,746.26,137
33,Nostrum Architecto,Giochi,748.28,109
34,Explicabo A,Salute,365.19,35
35,Non Officiis,Cucina,95.45,12
36,Dolore Assumenda,Casa,157.08,40
37,Assumenda Officia,Salute,598.43,98
38,Qui Illum,Salute,597.91,119
39,Enim Neque,Giochi,971.22,2
40,Culpa Illo,Casa,683.3,137
41,Dicta Id,Giochi,769.76,87
42,Hic Dolorum,Casa,297.03,40
43,Nobis Accusantium,Cucina,8.23,184
44,Pariatur Quia,Giochi,972.03,195
45,At Repudiandae,Sport,510.14,27
46,Odit Laudantium,Giochi,842.46,129
47,Incidunt Temporibus,Abbigliamento,157.08,195
48,Et Odio,Sport,541.68,199
49,Eligendi Voluptas,Elettronica,600.95,125
50,Harum Perferendis,Elettronica,116.31,92
51,Molestias Fugit,Giochi,243.26,61
52,Dolorem Perferendis,Casa,90.23,124
53,Est Nulla,Casa,978.09,136
54,Deleniti Ad,Sport,132.75,121
55,Ex Tenetur,Sport,268.73,155
56,Placeat Molestiae,Salute,964.54,138
57,Est Quod,Abbigliamento,714.38,102
58,Quaerat Temporibus,Libri,440.91,132
59,Dignissimos Culpa,Cucina,125.4,57
60,Fugiat Maxime,Casa,341.4,150
61,Quasi Facere,Abbigliamento,590.5,1
62,Voluptas Consequuntur,Casa,709.3,15
63,Fugit Unde,Abbigliamento,72.06,8
64,Quas Ipsa,Libri,75.5,60
65,Necessitatibus Adipisci,Giochi,670.63,54
66,At Reiciendis,Sport,724.74,146
67,Corrupti Excepturi,Cucina,246.78,121
68,Id Explicabo,Salute,194.46,24
69,Exercitationem Velit,Salute,357.53,105
70,Quos Sint,Cucina,864.52,13
71,Repellat Quia,Casa,65.31,186
72,Ducimus Sunt,Libri,801.59,27
73,Praesentium Quia,Abbigliamento,195.63,137
74,A Distinctio,Cucina,144.48,46
75,Adipisci Itaque,Giochi,465.31,19
76,Voluptas Quod,Cucina,808.98,140
77,Nihil Reiciendis,Casa,55.34,138
78,Laboriosam A,Elettronica,969.15,192
79,Perspiciatis Earum,Abbigliamento,170.48,124
80,Ea Corrupti,Cucina,217.68,102
81,Inventore Nisi,Elettronica,168.81,0
82,Explicabo Voluptatem,Salute,268.88,200
83,Fugit Repudiandae,Cucina,288.82,178
84,Eligendi Sunt,Cucina,159.02,75
85,Natus Velit,Abbigliamento,968.87,148
86,Sed Recusandae,Elettronica,749.24,14
87,Recusandae Magnam,Elettronica,586.26,128
88,Consequatur Modi,Sport,61.6,130
89,Optio Soluta,Casa,852.09,17
90,Eius Exercitationem,Casa,676.84,60
91,Itaque Aperiam,Salute,124.29,145
92,Labore Magnam,Abbigliamento,581.02,10
93,Optio Excepturi,Casa,422.13,149
94,Quibusdam Iusto,Libri,935.03,52
95,Possimus Eum,Libri,242.49,101
96,Non Ratione,Sport,673.33,76
97,Ad Voluptas,Cucina,319.6,192
98,Autem Corporis,Casa,14.27,159
99,Recusandae Deserunt,Casa,77.89,54
100,Eveniet Neque,Giochi,136.79,89
101,Aperiam Enim,Casa,879.87,94
102,Omnis Neque,Giochi,161.96,139
103,Quibusdam Aut,Giochi,613.62,167
104,Corporis Vero,Elettronica,669.52,141
105,Quo Nulla,Giochi,932.1,26
106,Deleniti Est,Sport,268.14,27
107,Error Esse,Sport,275.99,154
108,Maxime Consequatur,Abbigliamento,719.02,52
109,Amet Facere,Giochi,507.88,64
110,Accusamus Repudiandae,Elettronica,96.84,108
111,Nemo Cumque,Giochi,48.87,85
112,Hic Temporibus,Sport,638.93,67
113,Repudiandae Odio,Sport,742.52,141
114,Eos Consectetur,Salute,563.1,28
115,Laboriosam Ex,Casa,945.33,176
116,Similique Cumque,Sport,547.86,94
117,Consectetur Explicabo,Sport,432.64,10
118,Sapiente Quidem,Giochi,367.83,10
119,Suscipit Excepturi,Libri,214.03,63
120,Aperiam Pariatur,Casa,356.91,143
121,Voluptas Harum,Salute,973.97,191
122,Quis Doloremque,Sport,926.14,60
123,Unde Voluptatem,Sport,976.33,45
124,Ab Porro,Salute,29.66,188
125,Esse Neque,Libri,783.47,105
126,Iure Consequuntur,Abbigliamento,270.47,179
127,Commodi Provident,Casa,385.63,9
128,Reprehenderit Eum,Cucina,226.32,117
129,Repellat Hic,Libri,308.66,58
130,A Nobis,Abbigliamento,28.55,49
131,Voluptatem Laudantium,Salute,331.62,17
132,Magnam Odio,Giochi,354.39,130
133,Quos Voluptatem,Salute,681.12,137
134,Doloremque Alias,Libri,939.54,29
135,Consequatur Sunt,Giochi,182.67,67
136,Rem Adipisci,Elettronica,112.86,111
137,Vel Harum,Libri,729.9,80
138,Earum Doloribus,Salute,608.18,130
139,Dolore Eveniet,Casa,388.27,147
140,Aperiam Dolorum,Abbigliamento,258.45,181
141,Eius Eos,Salute,6.68,137
142,Eius Delectus,Abbigliamento,367.4,17
143,Impedit Officia,Libri,625.04,169
144,Assumenda Ut,Casa,721.16,76
145,Odio Et,Giochi,668.56,83
146,Sit Deleniti,Salute,698.72,141
147,Aliquid Cumque,Sport,195.88,170
148,Enim Maiores,Salute,678.93,44
149,Sunt In,Giochi,409.04,0
150,Vitae Non,Giochi,290.48,110
151,Dolor Voluptas,Libri,467.66,113
152,At Dolore,Abbigliamento,513.62,188
153,Pariatur Minus,Sport,660.56,72
154,Ab Dolores,Libri,97.92,192
155,Minima Aliquid,Abbigliamento,674.43,57
156,Quibusdam Doloribus,Abbigliamento,151.62,11
157,Vitae Nihil,Abbigliamento,984.02,156
158,Corrupti Blanditiis,Casa,458.14,161
159,Dolore Error,Abbigliamento,719.75,98
160,Aut Dolor,Cucina,402.65,37
161,Nesciunt Corrupti,Elettronica,893.2,197
162,Nostrum Eum,Casa,779.53,56
163,Voluptates Doloremque,Sport,805.09,178
164,Fugiat Quasi,Cucina,54.97,63
165,Quos Veritatis,Casa,459.18,118
166,Quia Rerum,Libri,950.29,113
167,Reprehenderit Iure,Salute,831.42,140
168,Odio Dolore,Cucina,897.72,190
169,Saepe Quibusdam,Cucina,452.82,192
170,Ut Reiciendis,Abbigliamento,840.66,70
171,Esse Occaecati,Cucina,628.61,70
172,Nisi Doloribus,Cucina,82.1,73
173,Similique Numquam,Abbigliamento,275.36,81
174,Hic Ipsam,Casa,142.68,59
175,Facilis Sequi,Salute,695.48,180
176,Error Adipisci,Abbigliamento,68.91,104
177,Eius Necessitatibus,Libri,544.9,106
178,Impedit Minus,Elettronica,210.8,107
179,Quidem Omnis,Salute,905.31,149
180,Consectetur Repellendus,Elettronica,857.45,195
181,Cum Voluptate,Salute,479.59,90
182,Debitis Asperiores,Giochi,754.71,107
183,Eum Voluptates,Abbigliamento,490.79,69
184,Quibusdam Culpa,Salute,488.21,99
185,Ratione Perferendis,Libri,670.53,103
186,Nam Totam,Sport,841.3,32
187,Repellendus Deleniti,Elettronica,907.39,151
188,Asperiores Quas,Elettronica,88.53,109
189,Ducimus Quidem,Sport,867.52,46
190,Eveniet Debitis,Elettronica,263.86,83
191,Excepturi Architecto,Abbigliamento,457.43,86
192,Quaerat Sequi,Salute,281.87,107
193,Quisquam Aut,Giochi,835.74,120
194,Excepturi Quidem,Elettronica,750.28,13
195,Quod Blanditiis,Libri,228.1,17
196,Labore Qui,Elettronica,755.46,63
197,Quidem Consectetur,Abbigliamento,840.03,159
198,Facilis Facilis,Sport,242.35,121
199,Iusto Quo,Casa,566.15,55
200,Deleniti Dolorum,Cucina,700.97,196
201,Aperiam Nobis,Libri,171.95,155
202,Porro Enim,Casa,778.9,41
203,Deserunt Est,Giochi,112.56,6
204,Voluptatem Tempora,Giochi,577.92,96
205,Commodi Quas,Salute,941.76,50
206,Dignissimos Soluta,Casa,594.14,160
207,Numquam Aut,Abbigliamento,106.39,197
208,Nisi Tempora,Giochi,851.04,153
209,Quisquam Beatae,Casa,797.25,144
210,Iste Officia,Elettronica,350.47,109
211,Doloremque Vero,Libri,73.61,165
212,Harum Labore,Libri,17.59,107
213,Aliquam Aliquid,Cucina,110.01,92
214,Accusamus Alias,Cucina,708.77,111
215,Vel Voluptas,Sport,735.13,166
216,Alias Aliquam,Giochi,617.83,137
217,Blanditiis Iste,Cucina,467.55,187
218,Doloremque Tempore,Giochi,325.69,62
219,Reprehenderit Beatae,Casa,282.53,115
220,Blanditiis Voluptas,Abbigliamento,751.72,145
221,Eaque Perspiciatis,Salute,339.71,126
222,Consequuntur Nulla,Libri,185.93,54
223,Quidem Tenetur,Libri,798.84,87
224,Minima Aspernatur,Giochi,880.92,179
225,Suscipit Sed,Giochi,558.01,132
226,Alias Distinctio,Abbigliamento,90.18,184
227,Libero Ipsam,Salute,491.13,194
228,Modi Veniam,Abbigliamento,692.16,165
229,Cum Quae,Cucina,450.93,4
230,Tenetur Illum,Casa,297.76,103
231,Illum Facilis,Abbigliamento,309.67,148
232,Dolore Blanditiis,Libri,475.89,135
233,Quisquam Dignissimos,Libri,428.38,190
234,Sapiente Velit,Libri,355.05,116
235,Repellat Quis,Giochi,310.09,59
236,Perferendis Illo,Casa,722.68,80
237,Porro Quasi,Casa,744.17,195
238,Autem Distinctio,Sport,195.58,189
239,Doloribus Illo,Cucina,280.12,150
240,Provident Soluta,Giochi,980.61,49
241,Animi Ipsam,Giochi,231.35,45
242,Modi Optio,Giochi,19.08,136
243,Animi Quae,Sport,277.94,13
244,Nostrum Omnis,Giochi,698.93,32
245,Alias Aperiam,Cucina,107.07,3
246,Sapiente Architecto,Giochi,472.05,112
247,A Ut,Libri,188.44,13
248,Facilis Exercitationem,Giochi,941.36,122
249,Minus Laborum,Casa,823.01,102
250,Tempora Laboriosam,Cucina,78.71,161
251,Commodi Magni,Elettronica,155.97,144
252,Quas Harum,Giochi,89.76,63
253,Quia Distinctio,Casa,560.28,106
254,Necessitatibus Minus,Abbigliamento,776.82,97
255,Recusandae Cupiditate,Cucina,908.96,76
256,Ex Neque,Salute,308.85,158
257,Distinctio Fugiat,Elettronica,611.58,189
258,Quaerat Eum,Casa,947.85,53
259,Iste Maxime,Abbigliamento,268.32,20
260,Ut Architecto,Sport,243.67,141
261,Maiores Ipsa,Casa,160.75,104
262,Dolores Repellat,Cucina,690.92,120
263,Minus Animi,Giochi,37.48,73
264,Quod Animi,Giochi,704.47,116
265,Sunt Optio,Casa,688.95,67
266,Asperiores Nemo,Abbigliamento,428.01,139
267,Eos Excepturi,Abbigliamento,649.4,68
268,Neque Sed,Sport,76.05,42
269,Sint Quos,Giochi,597.07,145
270,Officia Sit,Giochi,441.96,119
271,Libero Ad,Giochi,701.24,69
272,Soluta Tempora,Cucina,440.57,153
273,Qui Ea,Elettronica,889.98,188
274,Debitis At,Libri,605.7,6
275,Assumenda Fugiat,Casa,232.78,172
276,Architecto Cupiditate,Elettronica,999.57,172
277,Mollitia Explicabo,Giochi,578.37,195
278,Quia Cupiditate,Sport,473.15,166
279,Quos Quia,Cucina,916.49,46
280,Ab Facilis,Salute,636.61,125
281,Sunt Facilis,Casa,472.66,104
282,Temporibus Dolorum,Libri,324.45,26
283,Quo Pariatur,Sport,333.15,177
284,Praesentium Expedita,Cucina,291.78,102
285,Quas Earum,Elettronica,457.55,80
286,Minus Eaque,Giochi,326.66,197
287,Quia Tenetur,Salute,865.59,0
288,At Natus,Cucina,416.18,48
289,Fugiat Exercitationem,Libri,624.52,127
290,Dolor Veniam,Cucina,761.19,52
291,At Dicta,Giochi,551.47,73
292,Voluptatem Natus,Cucina,881.44,124
293,Sit Veritatis,Casa,33.73,161
294,Impedit Dolores,Abbigliamento,711.23,79
295,Quasi Rem,Elettronica,554.49,23
296,Tenetur Velit,Abbigliamento,992.3,29
297,Vel Inventore,Cucina,947.33,165
298,Nemo In,Sport,500.88,183
299,Dolore Adipisci,Giochi,511.33,69
300,Exercitationem Nihil,Salute,835.55,120
